Position,Business Name,Location,Status,Description,Asking Price,Revenue,Cash Flow,Business URL,Image URL,Image Alt Text
1,Well-Known Restaurant In Kingston,"Kingston, Ontario, Canada",NEW,"Acquire and manage, a well-recognized Canadian brand, in an ideal street-side plaza setting at the intersection of Waaban Crossing and Hwy 15. This health-conscious brand is enhanced by the inclusion... More details »","$329,000 (CAD)",$500K - $1M (CAD),On request,https://canada.businessesforsale.com/canadian/well-known-restaurant-in-kingston.aspx,https://canada.businessesforsale.com/uploadsstatic/a3746508mediumthumbnail.jpg?6dkytpdGV1/MNzvQdSfiSw==,well-known restaurant kingston
2,INS Market - Convenience Store Franchise in 34 Sudbury St.,"34 Sudbury St., Ontario",,"Franchise Fee: $30,000
Investment: $135,000
Capital: $100,000","$30,000 ","$135,000 ","$100,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/ins-market-convenience-franchise?location=34%20Sudbury%20St.,https://canada.businessesforsale.com/canadian/franchises/images/franchise8394/browselogobig.jpg,ins market convenience store
3,Professional Optical Boutique & Optometry Site In Greater Toronto Area,"Greater Toronto Area, Ontario, Canada",NEW,"Calling all opticians and optometrists! Take charge of a thriving optical store in a prime location on Queen West, Toronto. This established practice offers a strong community presence, promising... More details »","$375,000 (CAD)",$250K - $500K (CAD),On request,https://canada.businessesforsale.com/canadian/professional-optical-boutique-and-optometry-site-in-greater-toronto-area.aspx,https://canada.businessesforsale.com/uploadsstatic/a3746747mediumthumbnail.jpg?5gj/rsRCKzb35BuG5X6+LQ==,professional optical boutique optometry
4,Turn-Key Vape Store + Convenience Store In Toronto,"Toronto, Ontario, Canada",NEW,"hriving Convenience + VAPE Store Business for Sale on St. Clair Ave W. Asking Price: $145,000. Located in a high-traffic, prime location with over 30,000+ daily streetcar boardings, this turnkey... More details »","$145,000 (CAD)",Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/turn-key-vape-store-convenience-store-in-toronto.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/retail.png,turn-key vape store +
5,"Chef’s Door - Restaurant Franchise in Welland, ON","Welland, ON, Ontario",,"Franchise Fee: $35,000
Investment: On request","$35,000 ",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/chefs-door-franchise?location=Welland%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise8571/browselogobig.jpg,chef s door restaurant
6,Easy To Operate Restaurant In Busy Downtown Hamilton Area,"Hamilton, Ontario, Canada",NEW,"Restaurant for sale - fully equipped. 3 term lease 5 year terms. $4200 + HST. Spacious fully equipped restaurant with bar, spacious basement, kitchen and dining capacity for approximately 45 people... More details »","$99,999 (CAD)",$100K - $250K (CAD),Undisclosed,https://canada.businessesforsale.com/canadian/easy-to-operate-restaurant-in-busy-downtown-hamilton-area.aspx,https://canada.businessesforsale.com/uploadsstatic/a3746244mediumthumbnail.jpg?faUlixxo6rBQXBL4h46VRQ==,easy to operate restaurant
7,"Pet Valu Franchise in West Havelock, ON","West Havelock, ON, Ontario",,"Franchise Fee: On request
Investment: Available on request",On request,Available on request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/pet-valu-franchise?location=West%20Havelock%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise7662/browselogobig.jpg,pet valu franchise
8,Lucrative CNC Laser Cutting CNC Machine Shop In Barrie Oontario,"Barrie, Ontario, Canada",NEW,"CNC LASER CUTTING AND MACHINE SHOP FOR SALE IN BARRIE ONTARIO. THIS IS A JOBBING SHOP BUT COULD BE RAN AS A PRODUCTION SHOP. I HAVE 25 YEARS OF EXPERIENCE IN CNC MACHINING, LASER, FABRICATION. PLEASE... More details »","$695,000 (CAD)","$360,000 (CAD)",Under $50K (CAD),https://canada.businessesforsale.com/canadian/lucrative-cnc-laser-cutting-cnc-machine-shop-in-barrie-oontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3746105mediumthumbnail.jpg?prAWTgMnjyY1j2jcSbvtGQ==,lucrative cnc laser cutting
9,Lucrative Rental/BNB Property In Greater Sudbury,"Greater Sudbury, Ontario, Canada",NEW,"Lucrative income and return on existing Lake House and 2 buildings by running a Abnb/Rental. Need a business partner to invest and co own property/or properties, increase revenue addition to Lake... More details »",$100K - $250K (CAD),$250K - $500K (CAD),Under $50K (CAD),https://canada.businessesforsale.com/canadian/lucrative-rental-bnb-property-in-greater-sudbury.aspx,https://canada.businessesforsale.com/uploadsstatic/a3746228mediumthumbnail.jpg?Zc3E7ab/e/2uWGyujz2p6w==,lucrative rental bnb property
10,ONESource Moving Solutions - Specialty Move Management Franchise in Brantford,"Brantford, Ontario",,"Franchise Fee: $30,000
Investment: On request","$30,000 ",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/onesource-moving-solutions-franchise?location=Brantford,https://canada.businessesforsale.com/canadian/franchises/images/franchise9585/browselogobig.jpg,onesource moving solutions specialty
