"Position","Business Title","Location","Status","Description","Asking Price","Revenue","Cash Flow","Additional Details","Contact Link","Business Link","Image Source"
1,"Niche Perfume Distributor Business In Greater Toronto Area","GTA, Ontario, Canada","NEW","European Niche Perfume Distributorship for Sale – Canada. An exclusive opportunity to own the Canadian distributorship of a renowned European luxury niche perfume brand. This established business... More details »","On request","On request","On request","RELOCATABLE  WORK FROM HOME  QUICK SALE","https://canada.businessesforsale.com/canadian/niche-perfume-distributor-business-in-greater-toronto-area/contact","https://canada.businessesforsale.com/canadian/niche-perfume-distributor-business-in-greater-toronto-area.aspx","https://canada.businessesforsale.com/uploadsstatic/a3747087mediumthumbnail.jpg?/qENk4LVLib5m+QJpV50Bw=="
2,"INS Market - Convenience Store Franchise in 948 St. Clair Ave W","948 St. Clair Ave W, Ontario",,"Franchise Fee: $30,000
Investment: $175,000
Capital: $100,000","$30,000","$175,000","$100,000","NEW FRANCHISE","https://canada.businessesforsale.com/canadian/franchises/opportunities/ins-market-convenience-franchise/contact?location=948%20St.%20Clair%20Ave%20W","https://canada.businessesforsale.com/canadian/franchises/opportunities/ins-market-convenience-franchise?location=948%20St.%20Clair%20Ave%20W","https://canada.businessesforsale.com/canadian/franchises/images/franchise8394/browselogobig.jpg"
3,"Well-Known Bridal Store In Ontario","Ontario, Canada","NEW","Our bridal store is known for it's customer service, unique store layout, and exclusive designers. We serve brides from all over Southwestern Ontario. Owner is ready to move on and follow her other... More details »","$55,000 (CAD)","$100K - $250K (CAD)","On request","LEASE  OWNER FINANCED  QUICK SALE","https://canada.businessesforsale.com/canadian/well-known-bridal-store-in-ontario/contact","https://canada.businessesforsale.com/canadian/well-known-bridal-store-in-ontario.aspx","https://canada.businessesforsale.com/uploadsstatic/a3747032mediumthumbnail.jpg?1/J2F3UXtHQl+IX5T+MrMQ=="
4,"Thriving Barbershop In Ontario","Ontario, Canada","NEW","Established Barbershop for Sale. Are you looking for a thriving business opportunity in Southern Ontario? Look no further! Current owner (8years)retiring -61 years well-established barbershop... More details »","$100K - $250K (CAD)","On request","On request","LEASE  QUICK SALE","https://canada.businessesforsale.com/canadian/thriving-barbershop-in-ontario/contact","https://canada.businessesforsale.com/canadian/thriving-barbershop-in-ontario.aspx","https://canada.businessesforsale.com/uploadsstatic/a3746827mediumthumbnail.jpg?WHIH2LtwneCuIQh7aQ6/iQ=="
5,"Chef’s Door - Restaurant Franchise in Welland, ON","Welland, ON, Ontario",,"Franchise Fee: $35,000
Investment: On request","$35,000","On request",,"NEW FRANCHISE","https://canada.businessesforsale.com/canadian/franchises/opportunities/chefs-door-franchise/contact?location=Welland%2C%20ON","https://canada.businessesforsale.com/canadian/franchises/opportunities/chefs-door-franchise?location=Welland%2C%20ON","https://canada.businessesforsale.com/canadian/franchises/images/franchise8571/browselogobig.jpg"
6,"Brewery In Toronto","Toronto, Ontario, Canada","NEW","Full turnkey brewery for sale. Located just east of downtown Toronto. 200,000 litre capacity. Brewhouse and several fermenters, custom furnace, liquor tank, canning line. All high quality and made in... More details »","$500K - $1M (CAD)","$500K - $1M (CAD)","Under $50K (CAD)","LEASE  RELOCATABLE  OWNER FINANCED  QUICK SALE","https://canada.businessesforsale.com/canadian/brewery-in-toronto/contact","https://canada.businessesforsale.com/canadian/brewery-in-toronto.aspx","https://canada.businessesforsale.com/content/shared/images/categoryimages/food.png"
7,"Optical Boutique With Optometry Site In Greater Toronto Area","Greater Toronto Area, Ontario, Canada","NEW","Calling all opticians and optometrists! Take charge of a thriving optical store in a prime location on Queen West, Toronto. This established practice offers a strong community presence, promising... More details »","$375,000 (CAD)","$250K - $500K (CAD)","On request","LEASE  QUICK SALE","https://canada.businessesforsale.com/canadian/optical-boutique-with-optometry-site-in-greater-toronto-area/contact","https://canada.businessesforsale.com/canadian/optical-boutique-with-optometry-site-in-greater-toronto-area.aspx","https://canada.businessesforsale.com/uploadsstatic/a3746747mediumthumbnail.jpg?5gj/rsRCKzb35BuG5X6+LQ=="
8,"Pet Valu Franchise in West Havelock, ON","West Havelock, ON, Ontario",,"Franchise Fee: On request
Investment: Available on request","On request","Available on request",,"NEW FRANCHISE","https://canada.businessesforsale.com/canadian/franchises/opportunities/pet-valu-franchise/contact?location=West%20Havelock%2C%20ON","https://canada.businessesforsale.com/canadian/franchises/opportunities/pet-valu-franchise?location=West%20Havelock%2C%20ON","https://canada.businessesforsale.com/canadian/franchises/images/franchise7662/browselogobig.jpg"
9,"Profitable Cleaning Business","Kawartha Lakes, Ontario, Canada","NEW","Pre approved for conditional financing. We help buyers seek financing with a minimum of 10% cash required. This well-established cleaning business is now available for a new owner to take it to the... More details »","$249,000 (CAD)","$201,000 (CAD)","$66,000 (CAD)","WORK FROM HOME  OWNER FINANCED","https://canada.businessesforsale.com/canadian/profitable-cleaning-business-for-sale-3/contact","https://canada.businessesforsale.com/canadian/profitable-cleaning-business-for-sale-3.aspx","https://canada.businessesforsale.com/uploadsstatic/a3746702mediumthumbnail.jpg?7w1KNKROF3lMP8Qko2KVnA=="
10,"Lucrative Beauty Clinic In Toronto","Toronto, Ontario, Canada","NEW","Beauty Clinic for sale in Mid town Toronto. over 1 m sales. with loyal client, equipped with modern technology. strong reputation. More details »","$500K - $1M (CAD)","Undisclosed","Undisclosed","LEASE  RELOCATABLE  QUICK SALE","https://canada.businessesforsale.com/canadian/lucrative-beauty-clinic-in-toronto/contact","https://canada.businessesforsale.com/canadian/lucrative-beauty-clinic-in-toronto.aspx","https://canada.businessesforsale.com/content/shared/images/categoryimages/retail.png"
